PlaylistName,CollaborativePlaylist,SongName,AddedBy,Artist,Feature1,Feature2,Feature3,Feature4,Feature5
gym in a rap mood,False,Forever,1261707344,Drake,Kanye West,Lil Wayne,Eminem,NaN,NaN
gym in a rap mood,False,Homecoming,1261707344,Kanye West,Chris Martin,NaN,NaN,NaN,NaN
gym in a rap mood,False,Can't Tell Me Nothing,1261707344,Kanye West,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,CAN'T SAY,1261707344,Travis Scott,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Sky,1261707344,Playboi Carti,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,No Role Modelz,1261707344,J. Cole,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Love Sosa,1261707344,Chief Keef,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Money Trees,1261707344,Kendrick Lamar,Jay Rock,NaN,NaN,NaN,NaN
gym in a rap mood,False,SICKO MODE,1261707344,Travis Scott,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Heartless,1261707344,Kanye West,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Swimming Pools (Drank),1261707344,Kendrick Lamar,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Collard Greens,1261707344,ScHoolboy Q,Kendrick Lamar,NaN,NaN,NaN,NaN
gym in a rap mood,False,All Falls Down,1261707344,Kanye West,Syleena Johnson,NaN,NaN,NaN,NaN
gym in a rap mood,False,TELEKINESIS (feat. SZA & Future),1261707344,Travis Scott,SZA,Future,NaN,NaN,NaN
gym in a rap mood,False,Headlines,1261707344,Drake,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Famous,1261707344,Kanye West,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,You Know How We Do It,1261707344,Ice Cube,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Hood Gone Love It (feat. Kendrick Lamar),1261707344,Jay Rock,Kendrick Lamar,NaN,NaN,NaN,NaN
gym in a rap mood,False,Life We Live (feat. Namond Lumpkin & Edgar Fletcher),1261707344,Project Pat,Namond Lumpkin,Edgar Fletcher,NaN,NaN,NaN
gym in a rap mood,False,Wet Dreamz,1261707344,J. Cole,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Bound 2,1261707344,Kanye West,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Love Me,1261707344,Lil Wayne,Drake,Future,NaN,NaN,NaN
gym in a rap mood,False,Plain Jane,1261707344,A$AP Ferg,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Watch This - ARIZONATEARS Pluggnb Remix,1261707344,Lil Uzi Vert,sped up nightcore,ARIZONATEARS,NaN,NaN,NaN
gym in a rap mood,False,CAROUSEL,1261707344,Travis Scott,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,"Something to Rap About (feat. Tyler, The Creator)",1261707344,Freddie Gibbs,The Alchemist,"Tyler, The Creator",NaN,NaN,NaN
gym in a rap mood,False,151 Rum,1261707344,JID,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,KOD,1261707344,J. Cole,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Babushka Boi,1261707344,A$AP Rocky,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Who Dat Boy (feat. A$AP Rocky),1261707344,"Tyler, The Creator",A$AP Rocky,NaN,NaN,NaN,NaN
gym in a rap mood,False,Look Back at It,1261707344,A Boogie Wit da Hoodie,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,No Problem (feat. Lil Wayne & 2 Chainz),1261707344,Chance the Rapper,Lil Wayne,2 Chainz,NaN,NaN,NaN
gym in a rap mood,False,SMUCKERS (feat. Lil Wayne & Kanye West),1261707344,"Tyler, The Creator",Lil Wayne,Kanye West,NaN,NaN,NaN
gym in a rap mood,False,Ric Flair Drip (with Metro Boomin),1261707344,Offset,Metro Boomin,NaN,NaN,NaN,NaN
gym in a rap mood,False,20 Min,1261707344,Lil Uzi Vert,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,24,1261707344,IDK,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Took Her To The O,1261707344,King Von,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Fire Burning,1261707344,Sean Kingston,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,Low (feat. T-Pain),1261707344,Flo Rida,T-Pain,NaN,NaN,NaN,NaN
gym in a rap mood,False,You Make Me Feel... (feat. Sabi),1261707344,Cobra Starship,Sabi,NaN,NaN,NaN,NaN
gym in a rap mood,False,Only Girl (In The World),1261707344,Rihanna,NaN,NaN,NaN,NaN,NaN
gym in a rap mood,False,IDGAF (feat. Yeat),1261707344,Drake,Yeat,NaN,NaN,NaN,NaN
gym in a rap mood,False,ORANGE SODA,1261707344,Baby Keem,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Stolen Dance,1261707344,Milky Chance,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Breezeblocks,1261707344,alt-J,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Undercover Martyn,1261707344,Two Door Cinema Club,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,What You Know,1261707344,Two Door Cinema Club,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Riptide,1261707344,Vance Joy,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Little Talks,1261707344,Of Monsters and Men,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Out of My League,1261707344,Fitz and The Tantrums,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Safe And Sound,1261707344,Capital Cities,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Float On,1261707344,Modest Mouse,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Money,1261707344,The Drums,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Dirty Paws,1261707344,Of Monsters and Men,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,A Beginner's Guide to Destroying the Moon,1261707344,Foster The People,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Flashed Junk Mind,1261707344,Milky Chance,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,"Sex, Drugs, Etc.",1261707344,Beach Weather,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Two Weeks,1261707344,Grizzly Bear,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Synchronize,1261707344,Milky Chance,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Angela,1261707344,The Lumineers,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,California Dreamin' - Single Version,1261707344,The Mamas & The Papas,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,What Once Was,1261707344,Her's,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Island In The Sun,1261707344,Weezer,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,The Adults Are Talking,1261707344,The Strokes,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Rhinestone Eyes,1261707344,Gorillaz,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Let It Happen,1261707344,Tame Impala,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Where Is My Mind? - 2007 Remaster,1261707344,Pixies,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Take Me Out,1261707344,Franz Ferdinand,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Clint Eastwood,1261707344,Gorillaz,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Brandy (You're a Fine Girl),1261707344,Looking Glass,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Eyes Without A Face,1261707344,Billy Idol,NaN,NaN,NaN,NaN,NaN
happy emoji ,False,Marcel,1261707344,Her's,NaN,NaN,NaN,NaN,NaN
4jever,False,Without You (feat. Usher),1261707344,David Guetta,USHER,NaN,NaN,NaN,NaN
4jever,False,There Is a Light That Never Goes Out - 2011 Remaster,1261707344,The Smiths,NaN,NaN,NaN,NaN,NaN
4jever,False,Party In The U.S.A.,1261707344,Miley Cyrus,NaN,NaN,NaN,NaN,NaN
4jever,False,It Will Rain,jurinagata16,Bruno Mars,NaN,NaN,NaN,NaN,NaN
4jever,False,Bad Habits,jurinagata16,Ed Sheeran,NaN,NaN,NaN,NaN,NaN
4jever,False,What Makes You Beautiful,jurinagata16,One Direction,NaN,NaN,NaN,NaN,NaN
4jever,False,Stereo Hearts (feat. Adam Levine),1261707344,Gym Class Heroes,Adam Levine,NaN,NaN,NaN,NaN
4jever,False,Toxic,1261707344,Britney Spears,NaN,NaN,NaN,NaN,NaN
4jever,False,Still into You,1261707344,Paramore,NaN,NaN,NaN,NaN,NaN
4jever,False,505,jurinagata16,Arctic Monkeys,NaN,NaN,NaN,NaN,NaN
4jever,False,Perfect,jurinagata16,Ed Sheeran,NaN,NaN,NaN,NaN,NaN
4jever,False,Love Story,jurinagata16,Taylor Swift,NaN,NaN,NaN,NaN,NaN
4jever,False,In My Blood,jurinagata16,Shawn Mendes,NaN,NaN,NaN,NaN,NaN
4jever,False,Heartbreak Anniversary,jurinagata16,Giveon,NaN,NaN,NaN,NaN,NaN
4jever,False,Safe And Sound,jurinagata16,Capital Cities,NaN,NaN,NaN,NaN,NaN
4jever,False,like i need u,jurinagata16,keshi,NaN,NaN,NaN,NaN,NaN
4jever,False,beside you,jurinagata16,keshi,NaN,NaN,NaN,NaN,NaN
4jever,False,drunk,jurinagata16,keshi,NaN,NaN,NaN,NaN,NaN
4jever,False,good 4 u,jurinagata16,Olivia Rodrigo,NaN,NaN,NaN,NaN,NaN
4jever,False,Timber,jurinagata16,Pitbull,Kesha,NaN,NaN,NaN,NaN
4jever,False,Pumped Up Kicks,jurinagata16,Foster The People,NaN,NaN,NaN,NaN,NaN
4jever,False,California Gurls,jurinagata16,Katy Perry,Snoop Dogg,NaN,NaN,NaN,NaN
4jever,False,Last Friday Night (T.G.I.F.),jurinagata16,Katy Perry,NaN,NaN,NaN,NaN,NaN
4jever,False,Die Young,1261707344,Kesha,NaN,NaN,NaN,NaN,NaN
4jever,False,Dreams - 2004 Remaster,1261707344,Fleetwood Mac,NaN,NaN,NaN,NaN,NaN
4jever,False,Bad Habit,1261707344,Steve Lacy,NaN,NaN,NaN,NaN,NaN
4jever,False,Misery Business,1261707344,Paramore,NaN,NaN,NaN,NaN,NaN
4jever,False,Hips Don't Lie (feat. Wyclef Jean),1261707344,Shakira,Wyclef Jean,NaN,NaN,NaN,NaN
4jever,False,Magic,1261707344,One Direction,NaN,NaN,NaN,NaN,NaN
4jever,False,Everybody Talks,1261707344,Neon Trees,NaN,NaN,NaN,NaN,NaN
4jever,False,Sparks Fly,1261707344,Taylor Swift,NaN,NaN,NaN,NaN,NaN
4jever,False,Disturbia,1261707344,Rihanna,NaN,NaN,NaN,NaN,NaN
4jever,False,Dancing in the Moonlight,1261707344,Toploader,NaN,NaN,NaN,NaN,NaN
4jever,False,Unwritten,1261707344,Natasha Bedingfield,NaN,NaN,NaN,NaN,NaN
4jever,False,Feel So Close - Radio Edit,1261707344,Calvin Harris,NaN,NaN,NaN,NaN,NaN
4jever,False,Shut Up and Dance,jurinagata16,WALK THE MOON,NaN,NaN,NaN,NaN,NaN
4jever,False,The One That Got Away,jurinagata16,Katy Perry,NaN,NaN,NaN,NaN,NaN
4jever,False,Somebody To You,jurinagata16,The Vamps,Demi Lovato,NaN,NaN,NaN,NaN
4jever,False,Like I Can,jurinagata16,Sam Smith,NaN,NaN,NaN,NaN,NaN
4jever,False,Baby,jurinagata16,Justin Bieber,Ludacris,NaN,NaN,NaN,NaN
4jever,False,Best Song Ever,jurinagata16,One Direction,NaN,NaN,NaN,NaN,NaN
4jever,False,Accidentally In Love,1261707344,Counting Crows,NaN,NaN,NaN,NaN,NaN
4jever,False,Savin' Me,1261707344,Nickelback,NaN,NaN,NaN,NaN,NaN
4jever,False,Enchanted,1261707344,Taylor Swift,NaN,NaN,NaN,NaN,NaN
4jever,False,Still into You,jurinagata16,Julia Sheer,NaN,NaN,NaN,NaN,NaN
4jever,False,How to Save a Life,jurinagata16,The Fray,NaN,NaN,NaN,NaN,NaN
4jever,False,Conversations in the Dark,jurinagata16,John Legend,NaN,NaN,NaN,NaN,NaN
4jever,False,Just the Way You Are,jurinagata16,Bruno Mars,NaN,NaN,NaN,NaN,NaN
4jever,False,Life Of The Party,jurinagata16,Shawn Mendes,NaN,NaN,NaN,NaN,NaN
4jever,False,High Hopes,jurinagata16,Panic! At The Disco,NaN,NaN,NaN,NaN,NaN
4jever,False,As It Was,jurinagata16,Harry Styles,NaN,NaN,NaN,NaN,NaN
4jever,False,Under the Bridge,1261707344,Red Hot Chili Peppers,NaN,NaN,NaN,NaN,NaN
4jever,False,Semi-Charmed Life,1261707344,Third Eye Blind,NaN,NaN,NaN,NaN,NaN
4jever,False,All The Small Things,1261707344,blink-182,NaN,NaN,NaN,NaN,NaN
4jever,False,Good Days,1261707344,SZA,NaN,NaN,NaN,NaN,NaN
4jever,False,I Ain't Worried,1261707344,OneRepublic,NaN,NaN,NaN,NaN,NaN
4jever,False,Sunroof,jurinagata16,Nicky Youre,dazy,NaN,NaN,NaN,NaN
4jever,False,Dandelions - slowed + reverb,jurinagata16,Ruth B.,sped up + slowed,slater,NaN,NaN,NaN
4jever,False,Glimpse of Us,jurinagata16,Joji,NaN,NaN,NaN,NaN,NaN
4jever,False,Mundo,jurinagata16,IV Of Spades,NaN,NaN,NaN,NaN,NaN
